State,City,Accident_Date,Time,Weather,Road_Type,Severity,Vehicles_Involved,Casualties,Latitude,Longitude,Hour,Time_Period
Andhra Pradesh,Vijayawada,03-08-2023,01-01-1900 21:00,clear,city road,3,2,0,24.1726,83.174,21,Night
Telangana,Hyderabad,23-08-2023,01-01-1900 19:00,rain,expressway,2,1,2,20.3637,81.703,19,Evening
Maharashtra,Mumbai,13-08-2023,01-01-1900 17:00,clear,highway,3,2,0,17.0297,82.5943,17,Evening
Karnataka,Mysuru,25-05-2023,01-01-1900 19:00,rain,city road,3,1,1,18.5661,85.3111,19,Evening
Maharashtra,Mumbai,02-01-2023,01-01-1900 10:00,clear,city road,4,1,0,26.8752,85.8893,10,Morning
Karnataka,Mangalore,19-01-2023,01-01-1900 11:00,foggy,city road,1,3,1,24.8588,79.0523,11,Morning
Tamil Nadu,Madurai,08-05-2023,01-01-1900 21:00,rain,expressway,4,2,1,24.919,86.857,21,Night
Karnataka,Mysuru,13-01-2023,01-01-1900 05:00,foggy,highway,2,1,0,15.647,81.6982,5,Morning
Tamil Nadu,Chennai,23-02-2024,01-01-1900 14:00,nan,city road,2,2,1,12.1112,82.6182,14,Afternoon
Maharashtra,Pune,25-11-2023,01-01-1900 16:00,rain,highway,1,0,0,13.9178,80.7138,16,Afternoon
UP,Kanpur,09-01-2024,01-01-1900 10:00,rain,rural road,2,1,1,20.3006,84.7332,10,Morning
Tamil Nadu,Coimbatore,09-08-2023,01-01-1900 02:00,rain,highway,1,2,0,27.3992,79.7696,2,Night
Maharashtra,Nagpur,07-03-2023,01-01-1900 06:00,foggy,highway,0,0,0,16.5574,77.4058,6,Morning
UP,Varanasi,07-11-2023,01-01-1900 20:00,storm,rural road,4,2,3,12.8237,80.0651,20,Evening
Telangana,Warangal,21-09-2023,01-01-1900 21:00,rain,city road,3,1,1,14.3183,82.384,21,Night
Telangana,Warangal,01-08-2023,01-01-1900 20:00,foggy,rural road,4,3,1,15.8022,85.0104,20,Evening
Telangana,Warangal,23-04-2023,01-01-1900 05:00,clear,expressway,2,3,0,22.1365,82.8935,5,Morning
Delhi,Dwarka,10-11-2023,01-01-1900 23:00,storm,city road,4,0,0,12.6524,83.4998,23,Night
Bihar,Bhagalpur,03-05-2023,01-01-1900 08:00,rain,highway,3,0,1,22.3228,78.918,8,Morning
UP,Varanasi,20-03-2023,01-01-1900 22:00,rain,rural road,4,0,2,26.9877,78.5127,22,Night
Andhra Pradesh,Tirupati,02-09-2023,01-01-1900 00:00,clear,rural road,4,1,0,26.7951,86.6507,0,Night
Maharashtra,Pune,06-09-2023,01-01-1900 00:00,rain,highway,4,2,0,25.0756,83.1072,0,Night
UP,Varanasi,16-10-2023,01-01-1900 21:00,rain,highway,4,0,1,13.4896,86.8694,21,Night
Delhi,Dwarka,25-01-2024,01-01-1900 12:00,foggy,national highway,1,2,1,17.4245,80.8413,12,Afternoon
Telangana,Nizamabad,21-01-2023,01-01-1900 00:00,heavy rain,highway,2,2,1,26.1934,85.5786,0,Night
Maharashtra,Pune,27-03-2023,01-01-1900 19:00,foggy,national highway,1,1,1,14.5861,86.8841,19,Evening
Tamil Nadu,Chennai,31-10-2023,01-01-1900 22:00,rain,highway,3,2,0,12.081,78.7689,22,Night
Delhi,Rohini,08-08-2023,01-01-1900 21:00,nan,expressway,3,4,1,22.4314,79.467,21,Night
Bihar,Bhagalpur,20-03-2023,01-01-1900 13:00,clear,expressway,4,0,1,17.2064,85.2114,13,Afternoon
Telangana,Warangal,27-03-2024,01-01-1900 14:00,storm,expressway,4,3,1,22.5218,83.2514,14,Afternoon
Maharashtra,Pune,24-05-2023,01-01-1900 19:00,clear,expressway,2,1,0,16.2432,79.6839,19,Evening
Bihar,Gaya,10-02-2024,01-01-1900 00:00,clear,city road,4,1,1,26.2727,83.9425,0,Night
UP,Varanasi,09-10-2023,01-01-1900 10:00,storm,national highway,3,2,2,21.2305,82.4177,10,Morning
Karnataka,Bengaluru,21-04-2023,01-01-1900 23:00,clear,highway,3,2,0,16.4924,77.2675,23,Night
Karnataka,Mysuru,24-01-2023,01-01-1900 01:00,foggy,nan,4,0,1,27.0473,87.4932,1,Night
Andhra Pradesh,Visakhapatnam,26-04-2024,01-01-1900 15:00,nan,rural road,4,1,1,12.2473,87.2115,15,Afternoon
Maharashtra,Mumbai,08-05-2023,01-01-1900 03:00,heavy rain,expressway,4,2,0,27.4179,86.3831,3,Night
Andhra Pradesh,Vijayawada,30-04-2024,01-01-1900 06:00,clear,highway,0,0,0,25.6182,80.4861,6,Morning
Bihar,Gaya,17-01-2023,01-01-1900 07:00,nan,highway,4,2,0,26.9785,84.6563,7,Morning
Tamil Nadu,Coimbatore,28-02-2023,01-01-1900 17:00,nan,national highway,2,0,1,21.8401,87.8906,17,Evening
Maharashtra,Pune,05-03-2023,01-01-1900 14:00,foggy,national highway,4,2,0,26.038,85.1485,14,Afternoon
Andhra Pradesh,Vijayawada,28-04-2023,01-01-1900 21:00,clear,expressway,1,3,2,17.7519,80.2295,21,Night
UP,Varanasi,21-02-2024,01-01-1900 15:00,storm,national highway,4,2,1,25.8732,87.0456,15,Afternoon
Maharashtra,Nagpur,28-04-2024,01-01-1900 12:00,storm,highway,3,2,4,24.7727,84.1496,12,Afternoon
Andhra Pradesh,Tirupati,31-07-2023,01-01-1900 01:00,rain,expressway,4,3,1,26.2401,80.7179,1,Night
Bihar,Bhagalpur,06-09-2023,01-01-1900 03:00,heavy rain,nan,2,1,0,21.2525,77.3954,3,Night
Telangana,Warangal,29-04-2024,01-01-1900 03:00,storm,highway,3,4,0,16.5847,83.4992,3,Night
Karnataka,Mysuru,08-04-2023,01-01-1900 19:00,rain,national highway,0,1,2,14.033,82.7447,19,Evening
Bihar,Patna,17-08-2023,01-01-1900 17:00,rain,national highway,4,1,1,21.9662,77.9388,17,Evening
Tamil Nadu,Coimbatore,23-01-2023,01-01-1900 10:00,foggy,nan,2,2,0,20.6502,84.0117,10,Morning
Bihar,Patna,27-09-2023,01-01-1900 14:00,nan,rural road,2,0,1,24.723,79.9792,14,Afternoon
Telangana,Warangal,12-03-2024,01-01-1900 21:00,rain,nan,4,1,0,12.4056,87.5891,21,Night
Tamil Nadu,Madurai,16-02-2023,01-01-1900 13:00,rain,rural road,2,2,1,18.5432,78.9062,13,Afternoon
Delhi,Dwarka,16-03-2023,01-01-1900 07:00,nan,city road,2,1,0,20.7876,84.8606,7,Morning
Karnataka,Bengaluru,25-08-2023,01-01-1900 20:00,storm,national highway,1,0,1,27.2778,85.1169,20,Evening
Delhi,Rohini,03-06-2023,01-01-1900 20:00,clear,rural road,3,4,2,18.7136,79.725,20,Evening
Maharashtra,Nagpur,01-06-2023,01-01-1900 00:00,clear,highway,1,3,0,12.2303,78.2768,0,Night
Tamil Nadu,Madurai,15-02-2024,01-01-1900 11:00,heavy rain,expressway,3,2,1,19.5868,78.0762,11,Morning
Andhra Pradesh,Visakhapatnam,08-02-2024,01-01-1900 14:00,rain,highway,2,1,0,14.7712,81.7724,14,Afternoon
Delhi,Rohini,14-09-2023,01-01-1900 08:00,clear,rural road,3,3,0,22.1615,77.4983,8,Morning
Tamil Nadu,Madurai,06-01-2024,01-01-1900 21:00,nan,highway,4,3,0,20.0502,86.4214,21,Night
UP,Varanasi,26-04-2024,01-01-1900 11:00,heavy rain,rural road,1,0,1,13.1291,84.0666,11,Morning
Bihar,Bhagalpur,04-06-2023,01-01-1900 20:00,rain,city road,1,2,0,27.0437,83.3302,20,Evening
Karnataka,Mysuru,21-08-2023,01-01-1900 11:00,foggy,rural road,1,3,0,19.332,83.0018,11,Morning
Tamil Nadu,Coimbatore,16-08-2023,01-01-1900 07:00,rain,highway,3,1,1,27.379,86.9589,7,Morning
Telangana,Warangal,16-02-2023,01-01-1900 21:00,clear,highway,3,2,0,13.139,80.5087,21,Night
Tamil Nadu,Madurai,21-04-2023,01-01-1900 07:00,foggy,expressway,1,1,1,13.8906,84.6641,7,Morning
Telangana,Nizamabad,19-03-2024,01-01-1900 00:00,clear,nan,2,3,1,23.7611,85.8383,0,Night
Telangana,Nizamabad,02-02-2023,01-01-1900 15:00,rain,expressway,1,1,0,24.0098,85.8752,15,Afternoon
Maharashtra,Pune,26-11-2023,01-01-1900 00:00,storm,rural road,4,1,1,17.9523,85.5405,0,Night
Karnataka,Bengaluru,06-03-2023,01-01-1900 08:00,foggy,expressway,3,2,0,25.7346,81.7189,8,Morning
Tamil Nadu,Coimbatore,20-08-2023,01-01-1900 07:00,rain,rural road,4,2,1,13.65,86.9281,7,Morning
Karnataka,Mangalore,17-04-2024,01-01-1900 15:00,rain,highway,1,3,1,17.1208,86.8508,15,Afternoon
Delhi,Rohini,04-03-2023,01-01-1900 13:00,foggy,highway,1,2,0,27.2097,83.3078,13,Afternoon
Bihar,Patna,09-03-2024,01-01-1900 03:00,rain,highway,3,1,3,16.6914,80.6153,3,Night
Andhra Pradesh,Visakhapatnam,15-01-2023,01-01-1900 05:00,nan,national highway,3,3,1,24.6653,85.6858,5,Morning
Andhra Pradesh,Vijayawada,18-01-2024,01-01-1900 16:00,foggy,rural road,4,1,0,12.9209,83.0448,16,Afternoon
Telangana,Hyderabad,21-03-2023,01-01-1900 05:00,rain,national highway,4,3,0,17.6146,78.2877,5,Morning
Telangana,Warangal,09-08-2023,01-01-1900 03:00,nan,expressway,0,2,0,21.8915,78.1123,3,Night
Tamil Nadu,Chennai,27-01-2024,01-01-1900 08:00,rain,highway,1,2,0,13.1642,86.0405,8,Morning
Delhi,New Delhi,23-07-2023,01-01-1900 23:00,foggy,highway,4,1,1,13.3574,87.853,23,Night
UP,Kanpur,28-02-2023,01-01-1900 12:00,rain,city road,4,0,0,25.0048,87.4197,12,Afternoon
UP,Varanasi,10-02-2023,01-01-1900 12:00,rain,city road,3,1,0,24.4344,83.1424,12,Afternoon
Delhi,Dwarka,08-01-2024,01-01-1900 20:00,heavy rain,highway,2,3,0,13.7792,82.4189,20,Evening
Bihar,Gaya,22-01-2024,01-01-1900 18:00,rain,nan,3,1,0,12.9009,78.307,18,Evening
Andhra Pradesh,Visakhapatnam,17-09-2023,01-01-1900 02:00,nan,rural road,1,2,0,23.9367,83.4171,2,Night
UP,Kanpur,25-10-2023,01-01-1900 17:00,storm,expressway,2,1,1,16.5714,86.5546,17,Evening
Delhi,Rohini,13-02-2023,01-01-1900 16:00,clear,city road,4,2,1,13.1807,83.0924,16,Afternoon
UP,Kanpur,01-02-2024,01-01-1900 10:00,rain,highway,3,2,1,22.0704,84.6532,10,Morning
Karnataka,Mysuru,11-02-2023,01-01-1900 18:00,rain,national highway,4,4,0,21.349,86.9127,18,Evening
Delhi,New Delhi,10-12-2023,01-01-1900 22:00,nan,expressway,3,4,0,16.4381,79.0693,22,Night
Tamil Nadu,Chennai,12-03-2023,01-01-1900 04:00,clear,highway,1,0,0,21.3385,77.8551,4,Night
Karnataka,Mangalore,30-01-2024,01-01-1900 19:00,storm,highway,4,2,2,16.9524,85.9517,19,Evening
Bihar,Patna,01-10-2023,01-01-1900 07:00,storm,city road,3,0,1,26.5748,86.0479,7,Morning
UP,Lucknow,23-02-2024,01-01-1900 06:00,clear,highway,4,0,2,26.9237,86.5267,6,Morning
Maharashtra,Mumbai,26-01-2024,01-01-1900 05:00,storm,expressway,2,3,0,27.7964,78.6546,5,Morning
Andhra Pradesh,Tirupati,28-01-2023,01-01-1900 12:00,heavy rain,nan,1,0,2,27.5186,86.2633,12,Afternoon
Karnataka,Bengaluru,20-01-2023,01-01-1900 09:00,foggy,nan,4,1,2,18.6371,80.0075,9,Morning
UP,Lucknow,02-02-2024,01-01-1900 09:00,clear,highway,1,2,1,24.3038,87.3924,9,Morning
Bihar,Bhagalpur,02-10-2023,01-01-1900 00:00,nan,national highway,4,1,1,19.2087,78.4208,0,Night
Delhi,New Delhi,03-05-2024,01-01-1900 16:00,foggy,rural road,0,2,1,15.6583,84.3887,16,Afternoon
Delhi,New Delhi,11-01-2024,01-01-1900 21:00,rain,city road,1,0,2,13.8169,84.3873,21,Night
Bihar,Bhagalpur,04-04-2023,01-01-1900 04:00,storm,highway,3,3,1,20.3226,86.374,4,Night
UP,Varanasi,31-08-2023,01-01-1900 08:00,heavy rain,nan,3,4,2,26.0265,81.4383,8,Morning
UP,Kanpur,16-01-2024,01-01-1900 14:00,rain,city road,4,2,2,23.2653,79.3426,14,Afternoon
UP,Lucknow,09-08-2023,01-01-1900 19:00,clear,national highway,1,3,0,18.2759,81.8122,19,Evening
Bihar,Gaya,17-08-2023,01-01-1900 01:00,nan,national highway,1,1,1,20.2238,85.6202,1,Night
Andhra Pradesh,Guntur,10-03-2024,01-01-1900 19:00,clear,city road,1,3,0,25.7978,87.4447,19,Evening
Karnataka,Mangalore,19-08-2023,01-01-1900 11:00,storm,highway,2,0,0,19.3462,87.7804,11,Morning
Karnataka,Mysuru,23-09-2023,01-01-1900 12:00,clear,national highway,4,0,0,22.1344,79.6416,12,Afternoon
Karnataka,Bengaluru,20-08-2023,01-01-1900 05:00,rain,highway,3,2,0,14.9101,80.8023,5,Morning
Karnataka,Mangalore,30-12-2023,01-01-1900 22:00,rain,expressway,2,1,0,22.6809,78.8955,22,Night
Delhi,Dwarka,16-02-2024,01-01-1900 17:00,rain,highway,3,1,0,14.8322,77.9757,17,Evening
Telangana,Hyderabad,12-05-2024,01-01-1900 10:00,storm,rural road,3,1,0,15.3013,81.007,10,Morning
Karnataka,Mysuru,15-09-2023,01-01-1900 01:00,foggy,national highway,2,4,1,12.629,85.7935,1,Night
Maharashtra,Mumbai,09-05-2023,01-01-1900 06:00,foggy,highway,3,1,1,25.9773,87.1296,6,Morning
Karnataka,Mangalore,16-11-2023,01-01-1900 23:00,nan,highway,1,1,0,24.8992,85.2309,23,Night
UP,Varanasi,24-11-2023,01-01-1900 00:00,clear,highway,3,1,0,17.9276,82.3298,0,Night
Andhra Pradesh,Guntur,14-08-2023,01-01-1900 13:00,storm,city road,3,0,2,19.4006,85.2222,13,Afternoon
UP,Lucknow,25-01-2024,01-01-1900 11:00,rain,city road,4,2,1,20.1868,82.8532,11,Morning
UP,Lucknow,07-05-2024,01-01-1900 05:00,rain,city road,2,1,0,20.5219,79.6672,5,Morning
UP,Varanasi,23-08-2023,01-01-1900 07:00,rain,highway,1,1,0,12.3211,80.5429,7,Morning
Andhra Pradesh,Vijayawada,09-08-2023,01-01-1900 04:00,nan,nan,3,1,0,13.9162,86.7958,4,Night
UP,Varanasi,19-08-2023,01-01-1900 17:00,rain,city road,1,4,1,24.6267,82.4829,17,Evening
Tamil Nadu,Madurai,18-09-2023,01-01-1900 12:00,clear,highway,2,2,0,21.3895,85.1998,12,Afternoon
Karnataka,Mysuru,21-04-2024,01-01-1900 19:00,foggy,rural road,3,0,0,16.5404,80.9939,19,Evening
Bihar,Patna,08-07-2023,01-01-1900 10:00,foggy,expressway,0,3,2,17.6975,87.8517,10,Morning
Tamil Nadu,Madurai,27-01-2023,01-01-1900 18:00,foggy,expressway,4,0,1,13.6285,78.6815,18,Evening
Andhra Pradesh,Tirupati,10-06-2023,01-01-1900 13:00,foggy,highway,2,1,0,14.9851,80.136,13,Afternoon
Andhra Pradesh,Guntur,23-09-2023,01-01-1900 06:00,storm,expressway,4,2,0,18.5663,87.8062,6,Morning
Maharashtra,Nagpur,05-09-2023,01-01-1900 06:00,clear,expressway,3,1,0,27.5115,86.5206,6,Morning
Bihar,Gaya,03-09-2023,01-01-1900 11:00,clear,highway,4,1,1,14.7342,84.3551,11,Morning
Andhra Pradesh,Visakhapatnam,04-05-2024,01-01-1900 22:00,rain,rural road,3,2,1,21.1458,80.0798,22,Night
Maharashtra,Mumbai,25-02-2023,01-01-1900 19:00,heavy rain,nan,2,1,1,17.1789,81.6798,19,Evening
Karnataka,Bengaluru,08-05-2024,01-01-1900 17:00,foggy,highway,4,0,1,13.8374,83.7168,17,Evening
Telangana,Nizamabad,21-10-2023,01-01-1900 07:00,foggy,nan,2,2,0,14.4698,82.2925,7,Morning
Maharashtra,Mumbai,05-01-2023,01-01-1900 09:00,rain,national highway,4,1,1,17.3857,78.4786,9,Morning
Bihar,Gaya,09-04-2023,01-01-1900 03:00,foggy,highway,4,3,0,16.0743,84.4965,3,Night
Tamil Nadu,Chennai,09-11-2023,01-01-1900 20:00,foggy,expressway,3,2,2,19.5452,81.5303,20,Evening
Tamil Nadu,Chennai,14-05-2023,01-01-1900 12:00,storm,national highway,3,2,0,25.2899,87.6153,12,Afternoon
Andhra Pradesh,Vijayawada,27-08-2023,01-01-1900 09:00,foggy,highway,3,2,0,27.0134,78.9936,9,Morning
Karnataka,Mysuru,20-03-2023,01-01-1900 14:00,foggy,highway,4,2,0,21.1916,86.2601,14,Afternoon
Telangana,Nizamabad,17-08-2023,01-01-1900 16:00,nan,expressway,1,2,0,15.226,78.8002,16,Afternoon
Delhi,Rohini,15-08-2023,01-01-1900 03:00,storm,highway,4,2,0,22.6432,82.7537,3,Night
Bihar,Bhagalpur,18-02-2024,01-01-1900 09:00,foggy,national highway,1,3,0,18.2791,85.9826,9,Morning
Andhra Pradesh,Vijayawada,23-04-2024,01-01-1900 15:00,clear,rural road,2,0,0,19.4029,80.3152,15,Afternoon
UP,Kanpur,21-03-2024,01-01-1900 12:00,rain,highway,2,2,2,15.7154,86.8953,12,Afternoon
Tamil Nadu,Chennai,23-01-2024,01-01-1900 00:00,storm,highway,4,2,1,26.5036,83.8666,0,Night
Telangana,Hyderabad,19-02-2024,01-01-1900 21:00,nan,city road,2,0,2,14.2284,85.7343,21,Night
Tamil Nadu,Madurai,23-01-2023,01-01-1900 12:00,heavy rain,expressway,2,2,3,26.3023,85.6746,12,Afternoon
Delhi,Rohini,03-11-2023,01-01-1900 21:00,heavy rain,national highway,2,1,0,15.9758,85.1834,21,Night
Karnataka,Mangalore,14-12-2023,01-01-1900 13:00,clear,national highway,4,2,0,24.1993,86.6444,13,Afternoon
Bihar,Patna,10-03-2024,01-01-1900 07:00,foggy,rural road,1,3,0,13.7701,86.311,7,Morning
Tamil Nadu,Coimbatore,28-11-2023,01-01-1900 02:00,nan,highway,2,1,0,24.7567,78.6491,2,Night
Tamil Nadu,Coimbatore,17-04-2023,01-01-1900 10:00,clear,city road,2,2,0,23.5206,84.0526,10,Morning
Tamil Nadu,Coimbatore,13-04-2024,01-01-1900 07:00,clear,rural road,4,2,2,16.0288,80.8027,7,Morning
Telangana,Nizamabad,29-08-2023,01-01-1900 10:00,nan,national highway,0,0,2,19.3921,87.4201,10,Morning
UP,Kanpur,20-03-2023,01-01-1900 06:00,heavy rain,rural road,2,2,0,20.0942,83.726,6,Morning
Bihar,Gaya,28-03-2023,01-01-1900 23:00,foggy,city road,4,2,1,23.1464,87.1475,23,Night
Telangana,Nizamabad,25-01-2023,01-01-1900 00:00,nan,highway,2,1,1,21.2206,83.6739,0,Night
Bihar,Bhagalpur,07-09-2023,01-01-1900 00:00,foggy,highway,0,3,0,26.9499,87.1813,0,Night
UP,Lucknow,24-02-2023,01-01-1900 03:00,heavy rain,city road,3,0,0,27.7575,86.2279,3,Night
Tamil Nadu,Madurai,26-04-2023,01-01-1900 09:00,clear,highway,0,2,2,21.4604,81.389,9,Morning
Bihar,Gaya,27-11-2023,01-01-1900 10:00,clear,city road,2,1,0,24.8457,77.051,10,Morning
Maharashtra,Nagpur,16-10-2023,01-01-1900 21:00,foggy,national highway,1,0,0,20.5983,87.1184,21,Night
Telangana,Warangal,25-03-2023,01-01-1900 18:00,foggy,highway,3,0,0,23.8,81.9744,18,Evening
Delhi,New Delhi,20-02-2023,01-01-1900 13:00,rain,national highway,4,1,0,14.2537,78.9403,13,Afternoon
Tamil Nadu,Coimbatore,11-10-2023,01-01-1900 12:00,foggy,highway,4,1,0,26.6375,80.9863,12,Afternoon
Karnataka,Mysuru,31-12-2023,01-01-1900 20:00,foggy,nan,3,4,2,12.2095,84.2989,20,Evening
Karnataka,Bengaluru,06-04-2023,01-01-1900 13:00,foggy,highway,1,1,0,13.3656,87.9656,13,Afternoon
Andhra Pradesh,Visakhapatnam,31-07-2023,01-01-1900 12:00,heavy rain,expressway,2,5,1,13.0732,85.2496,12,Afternoon
Karnataka,Mysuru,22-05-2023,01-01-1900 13:00,storm,highway,3,2,0,15.2822,79.0976,13,Afternoon
Telangana,Hyderabad,05-06-2023,01-01-1900 00:00,rain,expressway,4,1,0,21.0375,77.7228,0,Night
Karnataka,Mysuru,14-06-2023,01-01-1900 19:00,storm,national highway,2,1,2,20.3902,81.8484,19,Evening
Tamil Nadu,Coimbatore,12-07-2023,01-01-1900 08:00,rain,highway,2,3,1,14.4838,79.0012,8,Morning
Bihar,Bhagalpur,18-04-2023,01-01-1900 14:00,rain,rural road,4,0,0,22.304,81.4961,14,Afternoon
UP,Lucknow,18-08-2023,01-01-1900 19:00,foggy,expressway,4,3,2,12.4335,79.4417,19,Evening
Telangana,Hyderabad,29-01-2024,01-01-1900 07:00,foggy,highway,1,2,0,12.3154,78.1452,7,Morning
UP,Lucknow,06-01-2023,01-01-1900 03:00,heavy rain,expressway,2,1,1,22.4439,79.62,3,Night
Delhi,New Delhi,05-09-2023,01-01-1900 03:00,foggy,highway,1,1,0,23.5563,86.4127,3,Night
Bihar,Gaya,01-09-2023,01-01-1900 03:00,storm,national highway,1,1,2,22.6894,79.2548,3,Night
Karnataka,Mangalore,05-05-2023,01-01-1900 16:00,foggy,national highway,4,2,0,12.208,77.9406,16,Afternoon
UP,Kanpur,15-01-2023,01-01-1900 23:00,storm,expressway,4,2,0,18.7428,86.8194,23,Night
Telangana,Nizamabad,22-02-2023,01-01-1900 17:00,rain,national highway,2,1,2,16.1508,81.1766,17,Evening
UP,Varanasi,20-07-2023,01-01-1900 18:00,rain,national highway,4,0,1,21.9864,81.5035,18,Evening
Telangana,Nizamabad,10-03-2023,01-01-1900 10:00,heavy rain,national highway,1,0,2,16.7115,87.433,10,Morning
UP,Kanpur,06-04-2023,01-01-1900 15:00,foggy,rural road,3,1,1,25.8955,82.3617,15,Afternoon
Andhra Pradesh,Tirupati,11-03-2023,01-01-1900 06:00,storm,rural road,4,2,0,18.8034,77.2472,6,Morning
Tamil Nadu,Coimbatore,17-01-2023,01-01-1900 08:00,clear,city road,4,2,0,22.1357,79.8368,8,Morning
Maharashtra,Nagpur,26-02-2024,01-01-1900 11:00,storm,expressway,2,2,0,27.7504,82.7826,11,Morning
Andhra Pradesh,Tirupati,15-05-2023,01-01-1900 11:00,storm,highway,2,1,0,12.2943,87.0573,11,Morning
UP,Lucknow,12-11-2023,01-01-1900 04:00,heavy rain,highway,3,2,0,16.3849,83.096,4,Night
Maharashtra,Nagpur,05-04-2024,01-01-1900 21:00,foggy,rural road,1,3,1,15.3027,77.121,21,Night
Delhi,New Delhi,25-01-2024,01-01-1900 21:00,storm,city road,3,2,1,21.6083,84.3154,21,Night
UP,Varanasi,19-01-2024,01-01-1900 08:00,storm,rural road,3,0,0,20.3027,77.5166,8,Morning
Delhi,New Delhi,12-02-2024,01-01-1900 17:00,heavy rain,rural road,2,2,0,13.3248,83.6347,17,Evening
Bihar,Gaya,02-04-2024,01-01-1900 21:00,nan,highway,4,1,0,16.6191,80.9124,21,Night
UP,Lucknow,19-12-2023,01-01-1900 04:00,foggy,national highway,1,0,2,21.0625,82.2366,4,Night
UP,Varanasi,06-06-2023,01-01-1900 23:00,foggy,nan,1,2,1,23.7212,79.3643,23,Night
Bihar,Patna,05-01-2023,01-01-1900 22:00,rain,rural road,2,1,1,19.9419,83.5653,22,Night
Delhi,Dwarka,12-03-2023,01-01-1900 12:00,foggy,highway,1,3,0,13.7056,77.8265,12,Afternoon
UP,Varanasi,18-12-2023,01-01-1900 14:00,rain,highway,2,1,2,23.0144,81.7831,14,Afternoon
Karnataka,Bengaluru,22-05-2023,01-01-1900 20:00,heavy rain,expressway,3,2,0,24.7907,84.6417,20,Evening
Tamil Nadu,Madurai,20-07-2023,01-01-1900 09:00,heavy rain,rural road,4,2,0,17.7756,78.0074,9,Morning
Delhi,Dwarka,09-03-2023,01-01-1900 12:00,rain,expressway,0,1,1,14.9621,82.9609,12,Afternoon
Maharashtra,Mumbai,21-01-2023,01-01-1900 01:00,clear,highway,4,2,1,24.905,84.2466,1,Night
Telangana,Warangal,10-02-2023,01-01-1900 16:00,foggy,expressway,3,3,1,15.9947,82.3837,16,Afternoon
UP,Varanasi,03-05-2024,01-01-1900 07:00,heavy rain,highway,4,2,1,14.8892,83.2474,7,Morning
Karnataka,Bengaluru,07-01-2023,01-01-1900 22:00,clear,city road,4,0,2,26.7903,87.6816,22,Night
Karnataka,Mangalore,04-02-2024,01-01-1900 08:00,clear,nan,4,1,1,25.7927,86.29,8,Morning
Bihar,Bhagalpur,04-07-2023,01-01-1900 01:00,foggy,national highway,2,3,0,12.5921,83.559,1,Night
Andhra Pradesh,Vijayawada,15-03-2024,01-01-1900 00:00,clear,rural road,3,1,0,13.2313,84.6592,0,Night
UP,Lucknow,14-06-2023,01-01-1900 07:00,rain,national highway,1,3,0,13.0457,80.4682,7,Morning
